id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z233tlyp5my3xzwyd04t1aokgswfjpsxqjpnrqbyf3okbk0h00410,Евразия Склон,20 minutes ago,1502561528411,"Есть у Ротенбергов малая родина и есть большая родина. За какую родину они сами вместе со всей своей семьей готовы бороться , воевать и отдать жизнь. Вспомним, экс-президента Украины Януковича. Он не был готов отдать сам и не дал возможности другим его людям умереть за родину, малую с его дворцами и большую . Он просто взял и сбежал, покинув две родины. Есть Донбасс , где люди воюют за свою малую родину, забыв о большой их родине. Когда то воевали и за большую родину при прежней власти. Будут ли воевать и умирать люди Ротенбергов, так как сами они просто сбегут, а также другие спортивные друзья Путина, даже за малую родину, за свои замки, шубохранилища, уточек и прочее? Конечно, не будут. Не будут воевать и отстаивать свои родные места и множество дорогих вещей, которые ассоциируются с золотым батоном Януковича. Это люди без родины. Тогда какие же они патриоты и какой родины??",0,false,0
z22ev32wbzz4e1mq404t1aokg0fcmj2d3pfeptwmk4ddrk0h00410,Sergey malakhov,58 minutes ago,1502559248415,"Много говорим, когда порядок то наводить будем? Народ России пора просыпаться...",0,false,0
z23ccloh0oqleljq204t1aokg5qg0t42oaotwliyltgxbk0h00410,Сайфуллин Сайфуллин,1 hour ago,1502559128419,Что с губами у Георгия???????,0,false,0
z23ccloh0oqleljq204t1aokgjwex2fxlquxqm2gzaxurk0h00410,Сайфуллин Сайфуллин,1 hour ago,1502559128422,"Навальный,зачем удалил мой коммент о тебе?Исчезни уже отсюда,безграмотное невоспитанное чмо, слов больше нет,не тебе быть Президентом и угробить Россию!",0,false,0
z232sndwbovtsvoro04t1aokgqbnxk3eg2sealsxzon2rk0h00410,Artur Gafur,1 hour ago,1502559128425,"Не понимаю, зачем такой дворец? Ну зачем?",0,false,0
z23tefeqcxe4iny0pacdp43bhym1gpv03hjbt15bzzpw03c010c,Vadim Kiss,1 hour ago,1502559128429,"Злость за то, что дача не моя))",0,false,0
z232tn1aupr2g3wxs04t1aokgmltw2s0logi2rtjh2fhbk0h00410,Valera Heavy,1 hour ago,1502559128433,"Топите путинских воров!

Навальный 20!8",1,false,0
z231xlmourichrphf04t1aokgz5icefigrhtyzfzrhb0bk0h00410,Евгений Солопов,1 hour ago,1502559128436,Вывода нет...,0,false,0
z231xlmourichrphf04t1aokgiytnmpgu1yph2oz1r4fbk0h00410,Евгений Солопов,2 hours ago,1502555528441,А Пу -ставленник Ельцина...,0,false,0
z231xlmourichrphf04t1aokgzefcmgz3qeo1jbspbeobk0h00410,Евгений Солопов,2 hours ago,1502555528443,"Ребята, что в хотели от выкормыша Собчака!!!",0,false,0
